name,pom,base,diff
F02,0.26404459721199736,0.27292451112289806,0.008879913910900705
F03,0.32312564910357283,0.318206122717322,-0.0049195263862508165
F04,0.33303198806591267,0.3326767652564363,-0.0003552228094763632
F05,0.21600082265001735,0.2442858839392039,0.028285061289186536
F2006,0.28911437118780725,0.30557995694364437,0.01646558575583712
F2010,0.27131343448496875,0.3059149942179293,0.03460155973296053
F2018,0.3260822055628102,0.3356244071255542,0.00954220156274399
F2019,0.3055817506682673,0.3031068908646203,-0.0024748598036470337
F3013,0.3469193476164472,0.3464559844038899,-0.0004633632125572995
F3016,0.3111870874479057,0.30794927158323937,-0.0032378158646663158
F3030,0.35967726147595963,0.35847448709358604,-0.0012027743823735948
F4002,0.3653394571913987,0.33958369104822655,-0.025755766143172154
F4011,0.32391990175349894,0.34086180528066834,0.0169419035271694
F4012,0.3357063162515517,0.31691255196035967,-0.018793764291192006
F4017,0.3966455855277687,0.40106402752428355,0.004418441996514866
F4027,0.3853564339294915,0.3997107685224525,0.014354334592961038
F5008,0.3152000405512761,0.29559400520103135,-0.019606035350244744
F5014,0.3063290542001766,0.3393530127741195,0.03302395857394291
F5026,0.3347896881807407,0.333745706397312,-0.0010439817834286824
M06,0.24734858369020823,0.2923601318393949,0.045011548149186675
M07,0.2641935462570842,0.2761910121426276,0.011997465885543401
M08,0.30635172748445244,0.30846802293414377,0.00211629544969133
M09,0.22135191501430812,0.24036733391277892,0.019015418898470804
M10,0.2901774943379994,0.2991908916762259,0.009013397338226536
M2007,0.2752877824024338,0.28953148502010173,0.014243702617667942
M2021,0.26722164846208146,0.2857696544222352,0.018548005960153713
M2024,0.31015752165205474,0.3112007298282003,0.0010432081761455603
M2028,0.3450746124054457,0.37635549469467117,0.03128088228922549
M2029,0.3789525467003224,0.3725767742655315,-0.006375772434790927
M3001,0.2758770314081657,0.2833295983882564,0.007452566980090669
M3005,0.22653320231411167,0.22532761470429352,-0.0012055876098181484
M3009,0.28231757894250237,0.3113524579404278,0.02903487899792545
M4004,0.2865352920323586,0.3232437018552203,0.036708409822861665
M4015,0.3307080374245644,0.3458832167308819,0.01517517930631751
M4020,0.33947371442067953,0.35589844930618386,0.016424734885504333
M4022,0.280393429830235,0.2871767274439878,0.006783297613752792
M4025,0.2532018742222088,0.2606024315953724,0.007400557373163585
M5003,0.3057706398102722,0.3282667316121693,0.0224960918018971
