information_offer,response_demonstrative_o,response_demonstrative_x,question_depend_o,question_depend_x,lenS,general,context,UI3average,UI3average_diff,num_noun_after,num_noun_before,u_utte_len_after,u_utte_len_before,theme_index
0.0,0.0,1.0,0.0,0.0,15.385915492957746,1.5031435487034168,15.935211267605634,4.228169014084508,-0.11154929577464787,0.5126760563380282,1.3211267605633803,25.02392957746479,37.883084507042255,8.8
0.0,0.0,0.0,1.0,0.0,23.49375,1.1015516932354923,7.078125,5.13875,0.16937499999999997,4.653125,2.990625,70.53832812499999,50.6894375,5.165625
1.0,0.0,0.0,0.0,0.0,47.41379310344828,1.0,2.5632183908045976,4.765517241379311,0.22758620689655168,2.7126436781609193,1.4022988505747127,51.249597701149426,35.413505747126436,7.942528735632184
0.0,0.016260162601626018,0.10569105691056911,0.10569105691056911,0.7723577235772358,25.414634146341463,1.0823868676092494,6.520325203252033,5.45528455284553,0.7674796747967481,11.268292682926829,2.3008130081300813,121.18353658536584,42.94130081300813,5.666666666666667
0.0,0.0,0.0,0.0,1.0,29.329140461215932,1.0101016733092205,5.0754716981132075,5.088469601677149,0.6964360587002097,2.4318658280922434,1.0733752620545074,45.10979035639413,28.486781970649893,4.555555555555555
0.0,0.0,0.9928057553956835,0.007194244604316547,0.0,14.712230215827338,1.4232331952000206,14.553956834532373,4.309352517985611,-0.9784172661870504,0.31654676258992803,9.359712230215827,21.66208633093525,115.05388489208633,6.266187050359712
0.0,1.0,0.0,0.0,0.0,22.392307692307693,1.0698380252226407,6.5,4.552307692307693,-0.663076923076923,0.7230769230769231,6.007692307692308,31.786730769230765,78.73430769230768,7.630769230769231
0.0,0.0,1.0,0.0,0.0,13.0,4.413793103448277,81.0,3.9671874999999996,-0.60625,0.0,4.296875,17.2856640625,61.1232421875,7.390625
0.0,0.0,0.0,0.026881720430107527,0.9731182795698925,26.741935483870968,1.0307249202410493,4.78494623655914,3.3838709677419354,-0.8333333333333334,1.8279569892473118,0.8655913978494624,50.45991935483871,30.89975806451613,5.021505376344086
0.047619047619047616,0.047619047619047616,0.0,0.7142857142857143,0.19047619047619047,23.523809523809526,1.1204430490144777,7.0,5.590476190476191,0.4285714285714285,20.0,15.80952380952381,212.37690476190477,176.12761904761902,4.714285714285714
