default,depend_word,nod_word,thank_word,questionmark,lenS,UI3average
0.0787037037037037,0.0,0.0,0.0,1.0,26.810185185185187,4.874537037037037
1.0,0.0,1.0,0.0031746031746031746,0.0,11.27936507936508,4.089523809523809
1.0,0.0,0.0,0.0,0.0,8.358024691358025,4.135802469135802
0.803921568627451,0.0,0.0,1.0,0.0,15.568627450980392,4.074509803921569
0.0,1.0,0.0,0.0,1.0,27.677419354838708,5.1251612903225805
0.5483870967741935,1.0,1.0,0.0,0.0,20.596774193548388,4.52258064516129
1.0,1.0,0.0,0.0,1.0,18.227848101265824,5.217721518987342
0.0,0.0,1.0,0.0,0.0,21.933333333333334,4.71111111111111
0.0,0.0,0.0,0.0,0.0,44.31147540983606,4.852459016393443
0.6,1.0,0.0,0.0,0.0,53.5,3.960000000000001
