lenS,general,context,questionmark,UI3average,UI3average_diff,num_noun_after,num_noun_before,u_utte_len_after,u_utte_len_before,context_dependent_word,information_offer,nod_depend_o,nod_depend_x,question_depend_o,question_depend_x,theme_index
13.934065934065934,1.37765601409646,13.54945054945055,0.01098901098901099,4.3076923076923075,-1.1032967032967032,0.3076923076923077,11.54945054945055,23.177692307692308,134.88401098901102,0.6043956043956044,0.0,0.01098901098901099,0.978021978021978,0.0,0.01098901098901099,6.054945054945055
29.077212806026367,1.0101101660423695,5.022598870056497,1.0,5.1401129943502815,0.7212806026365348,3.1732580037664784,1.1996233521657251,51.163220338983045,29.795254237288137,0.03954802259887006,0.0,0.0,0.0,0.0,1.0,4.649717514124294
24.29513888888889,1.0798925063727696,6.972222222222222,1.0,5.085416666666666,0.16388888888888886,4.583333333333333,2.7847222222222223,70.54276041666668,48.06295138888889,1.0,0.0,0.0,0.0,1.0,0.0,5.065972222222222
13.0,4.413793103448277,81.0,0.0,3.9671874999999996,-0.60625,0.0,4.296875,17.2856640625,61.1232421875,1.0,0.0,0.0,1.0,0.0,0.0,7.328125
25.901554404145077,1.0304408889901115,4.772020725388601,1.0,3.4455958549222796,-0.784455958549223,1.9430051813471503,0.8808290155440415,51.96119170984455,31.49800518134715,0.031088082901554404,0.0,0.0,0.0,0.0,1.0,4.83419689119171
22.407692307692308,1.0689833243679399,6.492307692307692,0.0,4.567692307692308,-0.6446153846153845,0.7923076923076923,5.792307692307692,32.93926923076923,76.57496153846154,1.0,0.0,1.0,0.0,0.0,0.0,7.538461538461538
16.837209302325583,1.415626017849,13.344186046511627,0.0,4.310697674418605,-0.07534883720930233,0.9209302325581395,1.1534883720930234,29.1053023255814,34.66360465116279,0.013953488372093023,0.0,0.0,1.0,0.0,0.0,8.986046511627906
12.61111111111111,1.6419371183792892,20.05,0.0,4.111111111111111,-0.32222222222222224,0.11666666666666667,2.6777777777777776,19.487055555555557,53.580888888888886,1.0,0.0,0.0,1.0,0.0,0.0,7.861111111111111
46.422680412371136,1.0,2.556701030927835,0.0,4.785567010309279,0.15876288659793814,2.288659793814433,1.7628865979381443,46.638865979381436,38.998247422680414,0.1134020618556701,1.0,0.0,0.0,0.0,0.0,7.88659793814433
24.041095890410958,1.1331732183565382,8.136986301369863,0.7945205479452054,5.632876712328767,0.7808219178082192,16.095890410958905,5.205479452054795,160.78294520547945,69.1272602739726,0.410958904109589,0.0273972602739726,0.0273972602739726,0.1506849315068493,0.3561643835616438,0.4383561643835616,5.534246575342466
