num_noun_before,u_utte_len_before,UI3average,UI3average_diff
0.5975609756097561,33.3595731707317,40.63414634146341,-1.4390243902439024
2.567741935483871,45.58761290322581,51.251612903225805,1.8580645161290323
7.05,91.30075,44.1,-7.3
1.6274509803921569,37.1871568627451,47.68627450980392,-0.27450980392156865
4.247474747474747,66.19342171717172,40.98989898989899,-5.257575757575758
6.214285714285714,80.07803571428569,45.142857142857146,-9.428571428571429
2.810126582278481,47.388481012658225,52.177215189873415,1.5696202531645569
2.4556962025316458,44.06746835443038,46.12658227848101,-2.1012658227848102
3.176470588235294,56.51911764705883,50.23529411764706,0.6470588235294118
1.5829145728643217,34.754484924623114,48.618090452261306,2.8391959798994977
